zip_code,min_medicare_pricing_for_new_patient,max_medicare_pricing_for_new_patient,mode_medicare_pricing_for_new_patient,min_copay_for_new_patient,max_copay_for_new_patient,mode_copay_for_new_patient,most_utilized_procedure_code_for_new_patient,min_medicare_pricing_for_established_patient,max_medicare_pricing_for_established_patient,mode_medicare_pricing_for_established_patient,min_copay_for_established_patient,max_copay_for_established_patient,mode_copay_for_established_patient,most_utilized_procedure_code_for_established_patient
210,57.752,174.264,174.264,14.438,43.566,43.566,99205,18.704,142.152,101.544,4.676,35.538,25.386,99214
211,57.752,174.264,174.264,14.438,43.566,43.566,99205,18.704,142.152,101.544,4.676,35.538,25.386,99214
212,57.752,174.264,174.264,14.438,43.566,43.566,99205,18.704,142.152,101.544,4.676,35.538,25.386,99214
213,57.752,174.264,174.264,14.438,43.566,43.566,99205,18.704,142.152,101.544,4.676,35.538,25.386,99214
214,57.752,174.264,174.264,14.438,43.566,43.566,99205,18.704,142.152,101.544,4.676,35.538,25.386,99214
215,57.752,174.264,174.264,14.438,43.566,43.566,99205,18.704,142.152,101.544,4.676,35.538,25.386,99214
303,56.192,170.304,170.304,14.048,42.576,42.576,99205,18.072,138.912,99.136,4.518,34.728,24.784,99214
304,56.192,170.304,170.304,14.048,42.576,42.576,99205,18.072,138.912,99.136,4.518,34.728,24.784,99214
323,56.192,170.304,170.304,14.048,42.576,42.576,99205,18.072,138.912,99.136,4.518,34.728,24.784,99214
353,56.192,170.304,170.304,14.048,42.576,42.576,99205,18.072,138.912,99.136,4.518,34.728,24.784,99214
601,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
602,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
603,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
604,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
605,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
606,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
610,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
611,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
612,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
613,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
614,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
616,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
617,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
622,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
623,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
624,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
627,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
631,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
636,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
637,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
638,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
641,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
646,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
647,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
650,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
652,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
653,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
656,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
659,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
660,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
662,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
664,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
667,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
669,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
670,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
674,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
676,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
677,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
678,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
680,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
681,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
682,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
683,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
685,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
687,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
688,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
690,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
692,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
693,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
694,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
698,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
703,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
704,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
705,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
707,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
714,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
715,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
716,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
717,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
718,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
719,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
720,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
721,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
723,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
725,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
726,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
727,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
728,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
729,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
730,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
731,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
732,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
733,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
734,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
735,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
736,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
737,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
738,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
739,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
740,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
741,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
742,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
744,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
745,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
751,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
754,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
757,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
765,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
766,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
767,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
769,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
771,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
772,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
773,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
775,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
777,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
778,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
780,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
782,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
783,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
784,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
785,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
786,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
791,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
792,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
794,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
795,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
801,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
802,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
803,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
804,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
805,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
820,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
821,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
822,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
823,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
824,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
830,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
831,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
840,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
841,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
850,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
851,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
901,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
902,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
905,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
906,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
907,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
908,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
909,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,100.24,4.562,35.11,25.06,99214
